,Sentence,Emotion
0,청소 네가 대신 해 줘,중립
1,둘 다 청소 하기 싫어 귀찮아,중립
2,둘 다 하기 싫어서 화내,분노
3,그럼 방세는 어떡해,슬픔
4,권택인 줄 알았는데 그런 사람이 생겼나 보더라고,슬픔
5,그냥 걷고 있어,중립
6,고등학교 동창인데,혐오
7,처음 학원에서 만났다가 서로 좋아해서 사귀게 되었지,중립
8,내가 애정 표현을 잘 못해서 자주 싸우긴 했어,중립
9,오늘 헤어졌어,슬픔
10,룸메이트와 너무 자주 싸우게 되,슬픔
11,그러고 싶은데 보증금 때문에 그럴 수가 없어,슬픔
12,이 회사가 이번 시즌 마지막 회사 이었어,슬픔
13,부모님한테 아직 말 안 했는데 말하기가 두려워,중립
14,아니 입맛도 없어,슬픔
15,응 혼났지,분노
16,그럴 시간도 없다,슬픔
17,부모님도 다 슬퍼하지,슬픔
18,그래 고마워,중립
19,해 봤는데 전화를 안 받네,중립
20,맨날 그래 얘는,중립
21,크게 다치진 않았는데,슬픔
22,일주일에 다섯 번을 먹는다니까,중립
23,그저께 아파해서 병원을 갔는데 괜찮아지 나 싶더니 결국엔 이렇게 됐네,슬픔
24,"다들 마음이 안 좋지\
 집에 들어가기도 싫네 나는",슬픔
25,"그래 봐야지 해피도\
 오래 살긴 했어",슬픔
26,"그렇지 뭐 생명까지는 괜찮은데\
 우리 마음이 지장이 있네",슬픔
27,지난번에도 드시고 다친 적이 있었거든 얼굴 이번에 또 그런 거야,슬픔
28,다들 지쳤어 나도 지쳤고 이제,슬픔
29,어제 밤새서 작성한 기획안 다시 해야 되네,슬픔
30,"그렇지 아픈데도\
 했더니 참\
 근데 맞는 말이라서",슬픔
31,응 마음 좀 추스리고 하지 근데 내가 잘하는게 없는 거 같네,슬픔
32,"모르겠어\
 전 최대한 추슬러 볼게",슬픔
33,노력하면 괜찮아지겠지 근데 내가 실력이 부족한 건 맞아,슬픔
34,청소 좀 하고 살자,분노
35,응 그동안 괜찮았는데,슬픔
36,응 이제 병원에서 퇴원하는 길이야,중립
37,이제 2달 지났어,슬픔
38,어제 지진 있었잖아 다행히 다치진 않았어,놀람
39,옆에서 친구가 넘어져서 발목 다쳤어,슬픔
40,아니 룸메이트 하기 전에는 그냥 학교에서 말 알던사이,중립
41,또 술 먹고 그랬지 뭐 지금 병원에 계셔,슬픔
42,했는데 소용 없어 다 포기했어 지금은,분노
43,걷고 있어,슬픔
44,이제 내년 거 준비 해야지 뭐,슬픔
45,너무 죄송해서 말도 못 하겠어,슬픔
46,응 다리 조금 다쳤는데 좀 쉬면 괜찮아질 거 같아,슬픔
47,다른 여자가 생겼나 봐,슬픔
48,대학교 때 동아리 선배 넣었어,슬픔
49,우리는 싸울 일이 전혀 없었어,슬픔
50,두 달 됐나 봐 1년 지난 거 같아,슬픔
51,잘 모르겠어,중립
52,나 면접에서 떨어졌어,슬픔
53,집에서 쉬고 있어,슬픔
54,내일부터 다시 다른데 알아보려고,슬픔
55,먹었지 이미 너무 늦은 시간인 걸,슬픔
56,지난달에 내가 분명히 얘기했거든 며칠 가지도 않아,분노
57,어제 지진 난 거 알아,놀람
58,나는 괜찮아,중립
59,좀 심하게 다쳤어,중립
60,당연히 따로 살고 싶은데 자취방 보증금 나 혼자 어떻게 내,분노
61,벌써 30분은 지난 거 같아,분노
62,전화했는데 다 와 간다는데 안 오네 아직도,분노
63,가끔 한 번씩 그러긴 하는데 오늘은 좀 심하네 아 화나,분노
64,치워야 되는데 어떡하지 누가 치우지도 않고 같네,혐오
65,그래야겠다 좀 이따 보고 내가 치우든지 해야겠다,혐오
66,나 이번 회사 면접도 떨어졌어,슬픔
67,엄마 아빠 얼굴도 못 보겠어서 괜히 밖에 돌아다니고 있어,슬픔
68,당연히 얘기 못 듣지 지금 집에도 못 들어가고 있는데,슬픔
69,계속 걱정하느라 밥 생각도 안 나,슬픔
70,지금 저녁 약속 있어서 친구 기다리는데 애가 올 생각을 안 해,분노
71,벌써 1시간이 넘었다 미친 거 아니야,분노
72,당연히 연락해 봤지 근데 답장도 잘 안 해,분노
73,아휴 이게 고등학교 때부터 그랬어,분노
74,이걸로 몇 번 싸우기도 했는데 도대체 들어먹지 않아,분노
75,룸메와 너무 자주 싸우게 돼,슬픔
76,방을 너무 지저분 하겠어 경고도 했는데,슬픔
77,한 달 전쯤에 경고를 한번 줬는데 좀 고쳐지는 듯 하더니 또 그러네 음식물 쓰레기도 막 버리고,분노
78,응 고등학교 동창이야,중립
79,보증금이 없어서 한동안 같이 지내야 될 거 같아,슬픔
80,나 결국 헤어졌어,슬픔
81,친구였다가 사귀게 됐어,슬픔
82,아니 3년 동안 한 번도 싸운 적이 없었어,슬픔
83,그렇다고 일찍 퇴근하면 잘 하지도 못하면서 노력도 안 한다고 뭐라 할 것 같아,슬픔
84,내가 부족해서 그런 거 나도 알고 있다니까,슬픔
85,우리 아빠 어제 술 먹고 또 사고 쳤어,분노
86,거의 맨날 먹어 일주일에 하루 이틀 빼고 거의 술이야,분노
87,엄마는 포기한지 한참 됐고 이제 나도 모르겠어,분노
88,고등학교 때 엄청 친한 사이였어 근데 이럴 줄은 몰랐다,중립
89,오늘 면접도 다 떨어졌다,슬픔
90,아니 다른 친구들 다 붙였는데 염치가 있지 얘기 못 드렸어,슬픔
91,아 몰라 진짜 미쳤나 봐 왜 나한테만 이래,분노
92,엄마 아빠도 계속 슬퍼하지,슬픔
93,말씀 드려야지,슬픔
94,나까지 토할 뻔 했다 야,혐오
95,아니 아니야 따뜻한 물도 못 먹겠어,혐오
96,이따 내려가면서 관리실에 얘기해야지,혐오
97,벌써 1시간 넘어간다 그거 진짜 너무한 거 아니냐,분노
98,고등학교 때부터 유명했어,분노
99,결국 남자친구랑 헤어졌어,슬픔
100,자긴 권태기인 것 같다고 시간을 갖자고 그러더라 근데 결국 다른 사람이 생긴 것 같아,슬픔
101,아니 술 마시고 계단에서 넘어지셔서 지금 병원에 있어,슬픔
102,응 잠깐 허리만 삐끗 하신 거 같아,중립
103,처음에는 몇 번 했는데 이젠 거의 포기 상태야,슬픔
104,두 달도 넘었어,슬픔
105,룸메랑 싸우는 것도 이제 지긋지긋하다 정말,분노
106,당연히 화내 봤지 근데 그것도 그때 뿐이야,분노
107,방 보증금이 8 100인데 나 혼자서 부담할 수가 없잖아,분노
108,화장실에 토한 거 그대로 있다,혐오
109,속이 미식미식 거리야 나도 토할 것 같아,혐오
110,그래야겠다 나가는 김에 얘기하고 가야겠어,혐오
111,아니 약속을 해 놓고 왜 얘는 이렇게 안 와,분노
112,지금 1시간이 넘었어,분노
113,위로해 줘서 다시 준비해야지,슬픔
114,밥 먹었어 방금,슬픔
115,아무리 얘기해도지가 뭘 잘못했는지를 몰라,분노
116,나는 하는 일마다 왜 다이 모양일까,슬픔
117,내가 엉망으로 해서 혼난 거라 할 말도 없어,슬픔
118,당연히 내 맞지,분노
119,아 힘들어 너무 힘들어,분노
120,그래서 따로 방 구하려고 알아봤어,분노
121,챙겨 먹었어,중립
122,넌 잘하는게 없나 봐,슬픔
123,잠깐 나갔다 올까,중립
124,일찍은 못 갈 거 같아,중립
125,해피가 어디 세상을 떠났어,슬픔
126,오래 살았어,슬픔
